日付,台数,数量,平均重量,工場売上,売上単価,工場粗利,工場仕入,粗利単価,利益率
2021-01-01,2605,2170290,833,138448492,63.79,82602101,55846391,38.06,0.5966
2021-02-01,2712,2175820,802,132857050,61.06,77424764,55432286,35.58,0.5828
2021-03-01,3358,2696240,803,173691781,64.42,102130767,71561014,37.88,0.588
2021-04-01,3001,2358480,786,148914427,63.14,85387533,63526895,36.2,0.5734
2021-05-01,2515,1853080,737,125546170,67.75,73042762,52503408,39.42,0.5818
2021-06-01,2778,2177040,784,142530809,65.47,83665585,58865224,38.43,0.587
2021-07-01,2781,2101860,756,145091396,69.03,84559265,60532130,40.23,0.5828
2021-08-01,2687,2068830,770,138177156,66.79,80474375,57702780,38.9,0.5824
2021-09-01,2923,2210810,756,144520650,65.37,79255124,65265525,35.85,0.5484
2021-10-01,2991,2310680,773,153221191,66.31,86416752,66804439,37.4,0.564
2021-11-01,3026,2328790,770,156960446,67.4,86014324,70946122,36.94,0.548
2021-12-01,3344,2616580,782,176122000,67.31,98804442,77317558,37.76,0.561
2022-01-01,2684,2143450,799,144532834,67.43,79464152,65068682,37.07,0.5498
2022-02-01,2872,2112490,736,152247154,72.07,90267338,61979817,42.73,0.5929
2022-03-01,3594,2891700,805,198023616,68.48,110318956,87704660,38.15,0.5571
2022-04-01,3036,2432780,801,168153754,69.12,94132471,74021282,38.69,0.5598
2022-05-01,2707,2095390,774,146949701,70.13,86274169,60675531,41.17,0.5871
2022-06-01,2958,2160340,730,145887760,67.53,82908014,62979746,38.38,0.5683
2022-07-01,2920,2282350,782,143080522,62.69,80225248,62855273,35.15,0.5607
2022-08-01,2900,2150340,741,140933284,65.54,81050731,59882552,37.69,0.5751
2022-09-01,3108,2466370,794,161201943,65.36,91514343,69687600,37.1,0.5677
2022-10-01,3118,2339760,750,155149486,66.31,89521253,65628232,38.26,0.577
2022-11-01,3009,2220080,738,143150758,64.48,81381206,61769552,36.66,0.5685
2022-12-01,3265,2470530,757,162239705,65.67,91438298,70801407,37.01,0.5636
2023-01-01,2598,1823060,702,121634563,66.72,69331701,52302862,38.03,0.57
2023-02-01,3015,2263810,751,146377955,64.66,84050222,62327733,37.13,0.5742
2023-03-01,3777,3079180,815,201717082,65.51,111025082,90692000,36.06,0.5504
2023-04-01,3042,2266980,745,150119416,66.22,86318664,63800752,38.08,0.575
2023-05-01,2918,2151570,737,137958668,64.12,78981338,58977331,36.71,0.5725
2023-06-01,3026,2251780,744,145510024,64.62,82591489,62918534,36.68,0.5676
2023-07-01,3172,2319470,731,148562054,64.05,89419500,59142553,38.55,0.6019
2023-08-01,3017,2217390,735,147633826,66.58,87960234,59673593,39.67,0.5958
2023-09-01,3031,2223410,734,143632286,64.6,84527600,59104686,38.02,0.5885
2023-10-01,3253,2427760,746,155692249,64.13,91438058,64254191,37.66,0.5873
2023-11-01,3101,2258750,728,150568275,66.66,88007157,62561118,38.96,0.5845
2023-11-02,3349,2417850,722,164101533,67.87,94348646,69752887,39.02,0.5749
